epoch,accuracy,loss,val_accuracy,val_loss
0,0.38887351751327515,1.319764256477356,0.4639769494533539,1.254547357559204
1,0.6482147574424744,0.9782742261886597,0.680115282535553,0.8746557831764221
2,0.796567976474762,0.5837019085884094,0.7002881765365601,0.7770136594772339
3,0.8497093915939331,0.42434123158454895,0.6916426420211792,0.7808146476745605
4,0.8773872256278992,0.3378114402294159,0.6916426420211792,0.8078213334083557
5,0.9075560569763184,0.2766728699207306,0.6945244669914246,0.8396373987197876
6,0.9258233904838562,0.22554519772529602,0.6858789920806885,0.9325600862503052
7,0.9396623373031616,0.19323816895484924,0.6685879230499268,1.0184717178344727
8,0.94768887758255,0.16598881781101227,0.6945244669914246,1.067897081375122
9,0.9576529264450073,0.14601603150367737,0.6887608170509338,1.0994000434875488
10,0.9645723700523376,0.12269346415996552,0.7089337110519409,1.1187427043914795
11,0.9678937196731567,0.11190851032733917,0.680115282535553,1.2007968425750732
12,0.9701079726219177,0.10459114611148834,0.6772334575653076,1.2474626302719116
13,0.972045361995697,0.09724485129117966,0.6974063515663147,1.266058325767517
14,0.972045361995697,0.0935356542468071,0.6829971075057983,1.2692933082580566
15,0.9739828109741211,0.07897353917360306,0.6887608170509338,1.3301191329956055
16,0.974259614944458,0.0808316245675087,0.6858789920806885,1.3629053831100464
17,0.9745364189147949,0.08070021122694016,0.6974063515663147,1.4002134799957275
18,0.9748131632804871,0.074767105281353,0.6887608170509338,1.4507229328155518
19,0.9778577089309692,0.0719662606716156,0.6858789920806885,1.4632748365402222
20,0.9759202599525452,0.07017163187265396,0.680115282535553,1.46097731590271
21,0.9789648652076721,0.06549859791994095,0.680115282535553,1.4820128679275513
22,0.9784113168716431,0.06367809325456619,0.680115282535553,1.4873342514038086
23,0.975643515586853,0.06538175046443939,0.680115282535553,1.5614843368530273
24,0.9773041605949402,0.06294465810060501,0.6743515729904175,1.5370508432388306
